id,placement,chars,sylls,morphs,freq
el9,71,6.150326797385621,1.8867102396514162,1.6209150326797386,607938.0958605665
em5,48,3.75,1.25,1.125,165138.5
en1,68,6.198776758409786,2.0244648318042815,1.6024464831804281,516894.0917431193
en8,51,5.971264367816092,1.9195402298850575,1.5833333333333333,584960.8793103448
eo5,81,6.249457700650759,1.8915401301518437,1.6919739696312364,498155.96095444687
eo8,70,5.938461538461539,1.9,1.5769230769230769,797396.5692307692
eq2,38,5.482093663911845,1.5922865013774106,1.4325068870523416,563915.782369146
er2,44,5.82258064516129,1.8306451612903225,1.3870967741935485,638029.4112903225
er3,53,5.666867833433916,1.7585998792999396,1.515992757996379,541824.171997586
er5,61,5.709897610921502,1.7175767918088738,1.5110921501706485,607396.9462457338
es4,71,5.8369497830130195,1.8109113453192809,1.602603843769374,535785.4934903906
es6,59,5.280487804878049,1.6926829268292682,1.3878048780487804,817537.9195121952
et4,59,5.026315789473684,1.4657894736842105,1.2657894736842106,1020303.1342105264
eu5,71,5.666666666666667,1.7096774193548387,1.4731182795698925,620205.4086021505
eu9,60,5.270440251572327,1.4842767295597483,1.3836477987421383,706241.1194968553
ew7,48,5.713286713286713,1.7412587412587412,1.5384615384615385,412210.8321678322
ew9,60,5.677083333333333,1.8541666666666667,1.46875,747042.7604166666
ey8,39,5.849785407725322,1.759656652360515,1.296137339055794,497481.364806867
ez5,64,5.514728682170543,1.669767441860465,1.4465116279069767,536278.4635658915
ez6,46,5.5479452054794525,1.6986301369863013,1.4735812133072408,585511.2544031311
fe4,37,4.635135135135135,1.3783783783783783,1.2027027027027026,799730.0810810811
fe9,75,5.8760683760683765,1.8632478632478633,1.5726495726495726,452013.1794871795
ff2,63,5.543656207366985,1.6289222373806276,1.4672578444747613,572258.502728513
fh1,44,4.927927927927928,1.6666666666666667,1.4054054054054055,1091363.3873873875
fi6,58,5.986784140969163,1.8083700440528634,1.552863436123348,374848.3193832599
fj0,70,5.529175050301811,1.7399396378269618,1.5015090543259557,636816.1358148893
fj2,70,5.965174129353234,1.7866224433388613,1.5561083471531232,544583.5472636815
fj8,51,5.676,1.688,1.64,489987.156
fk0,53,5.967905405405405,1.9375,1.587837837837838,533134.1266891892
fk3,88,5.648843026891807,1.6810506566604129,1.4718574108818012,460490.48686679173
fk7,65,5.487179487179487,1.641025641025641,1.2564102564102564,763760.3333333334
fk8,63,5.526639344262295,1.6977459016393444,1.3719262295081966,561820.5860655737
fk9,83,6.121756487025948,1.8542914171656686,1.5568862275449102,580989.259481038
fm4,65,6.669793621013133,2.230769230769231,1.7917448405253282,656521.9681050656
fm9,43,6.3283582089552235,2.08955223880597,1.5671641791044777,609297.8059701492
fo0,47,6.328205128205128,2.082051282051282,1.676923076923077,565509.9512820513
fo4,68,5.900816802800467,1.7596266044340723,1.5915985997666278,332399.983663944
fo8,61,4.914529914529915,1.4188034188034189,1.358974358974359,390967.5982905983
fp4,41,5.7317073170731705,1.6951219512195121,1.5548780487804879,378709.1951219512
fp6,60,5.0944669365722,1.5114709851551957,1.3184885290148447,619168.7840755736
fr0,53,5.583333333333333,1.7222222222222223,1.4074074074074074,424356.30555555556
fs4,68,5.813417190775682,1.7735849056603774,1.6331236897274632,584605.0587002096
fs6,56,5.139737991266376,1.497816593886463,1.4192139737991267,519212.86026200873
ft0,62,5.446666666666666,1.6466666666666667,1.4466666666666668,528965.3666666667
ft9,56,4.6117647058823525,1.411764705882353,1.2705882352941176,694287.5294117647
fu1,48,5.646746347941567,1.7583001328021248,1.5245683930942895,608993.604249668
fu4,56,5.888888888888889,1.9351851851851851,1.6388888888888888,554595.2222222222
fu5,62,6.065925925925926,1.8755555555555556,1.5733333333333333,514083.0851851852
fu8,58,5.676236044657097,1.7543859649122806,1.4784688995215312,599341.2488038278
fv4,43,5.8618421052631575,1.861842105263158,1.4671052631578947,618814.1907894737
fx7,56,5.239766081871345,1.6608187134502923,1.432748538011696,766569.2631578947
fx8,42,5.242857142857143,1.6142857142857143,1.3285714285714285,561659.2571428572
fy6,48,5.520958083832335,1.656686626746507,1.4191616766467066,645244.5189620758
fz5,59,5.739717223650386,1.736503856041131,1.4768637532133677,492206.55077120825
gb3,71,5.915841584158416,1.8341584158415842,1.5693069306930694,697354.603960396
gc5,58,6.012544802867383,1.842293906810036,1.560931899641577,533492.6093189964
gd7,86,5.45072463768116,1.5811594202898551,1.4405797101449276,591794.6217391305
gd8,69,6.005512679162073,1.8213891951488423,1.6229327453142226,524074.0926130099
ge5,67,5.575221238938053,1.761061946902655,1.4867256637168142,714054.7433628319
gf0,48,5.105960264900662,1.4370860927152318,1.3973509933774835,492330.06622516556
gf5,69,6.135802469135802,2.0864197530864197,1.5679012345679013,841895.3827160494
gg1,45,5.6800804828973845,1.7183098591549295,1.476861167002012,639035.1106639839
gg7,64,5.601351351351352,1.7027027027027026,1.5405405405405406,630106.4054054054
gh8,71,5.792763157894737,1.7598684210526316,1.6546052631578947,625613.7763157894
gi1,55,6.044554455445544,1.882013201320132,1.5858085808580857,581407.8028052805
gi2,85,7.044117647058823,2.1029411764705883,1.8308823529411764,534227.0514705882
gj2,60,6.486388384754991,2.0544464609800364,1.7313974591651542,525665.8021778584
gk3,72,5.293691080493111,1.6642494561276286,1.3589557650471356,719019.4923857868
gl2,63,5.851727982162765,1.8026755852842808,1.576365663322185,565020.071348941
gm1,67,5.135036496350365,1.594890510948905,1.3394160583941606,449178.0328467153
go3,86,6.503961965134707,1.988906497622821,1.7543581616481776,439665.8114104596
go4,45,6.296157450796626,2.0018744142455485,1.6588566073102156,429777.885660731
go8,69,5.786271450858035,1.8174726989079564,1.4867394695787832,548146.8985959438
gp0,47,7,1.8571428571428572,1.8571428571428572,480574.5714285714
gp8,85,6.472904624277457,2.161127167630058,1.6828034682080926,553583.7434971099
gq0,75,6.078333333333333,1.8416666666666666,1.6216666666666666,530367.0083333333
gq4,68,6.839743589743589,2.16025641025641,1.7692307692307692,302757.2628205128
gs8,48,6.182370820668693,1.817629179331307,1.6382978723404256,440603.9696048632
gt0,83,5.859848484848484,1.8257575757575757,1.5643939393939394,625005.7992424242
gu5,39,5.343283582089552,1.671641791044776,1.4029850746268657,264443.4029850746
gv3,66,6.300341296928328,1.8464163822525597,1.4129692832764504,559921.4027303754
gv8,75,6.093270365997639,1.8476977567886659,1.630460448642267,580117.1097992916
gv9,62,5.9467592592592595,1.8356481481481481,1.6342592592592593,494890.9212962963
gw1,48,5.788191190253046,1.7553889409559513,1.472352389878163,378620.07029053423
gw4,77,5.737113402061856,1.7422680412371134,1.5051546391752577,467877.6701030928
gw5,47,6.200183654729109,1.8824609733700643,1.617998163452709,479265.2653810836
gw7,63,5.245551601423488,1.601423487544484,1.4590747330960854,648815.7330960854
gw8,69,5.735849056603773,1.7106918238993711,1.5660377358490567,366192.1572327044
gx0,81,6.26567481402763,1.9442082890541976,1.6471838469713072,457983.3081827843
gx5,80,5.965863453815261,1.8493975903614457,1.6666666666666667,333116.7630522088
gx8,59,5.952983725135624,1.9113924050632911,1.5244122965641953,673908.3164556962
gz4,80,6.668161434977579,2.1591928251121075,1.7825112107623318,396325.9461883408
gz5,55,5.373056994818653,1.6839378238341969,1.4300518134715026,702472.932642487
ha7,47,5.7612903225806456,1.7096774193548387,1.5677419354838709,393936.85161290324
